id,name,shortName,category,unit,male_low,male_optimal_low,male_optimal_high,male_high,female_low,female_optimal_low,female_optimal_high,female_high
total_cholesterol,"Total Cholesterol","TC",heart,mmol/L,0,3.5,5.5,6.5,0,3.5,5.5,6.5
ldl_cholesterol,"LDL Cholesterol","LDL",heart,mmol/L,0,0,2.5,4,0,0,2.5,4
hdl_cholesterol,"HDL Cholesterol","HDL",heart,mmol/L,0,1.2,2,3,0,1.5,2.5,3.5
triglycerides,"Triglycerides","TG",heart,mmol/L,0,0,1.7,2.3,0,0,1.7,2.3
non_hdl_cholesterol,"Non-HDL Cholesterol","Non-HDL",heart,mmol/L,0,0,3.4,4.9,0,0,3.4,4.9
tc_hdl_ratio,"Total Cholesterol/HDL Ratio","TC/HDL",heart,,1,2,4,6,1,2,3.5,5
ldl_hdl_ratio,"LDL/HDL Ratio","LDL/HDL",heart,,0.5,1,2.5,4,0.5,1,2.5,4
tg_hdl_ratio,"Triglyceride/HDL Ratio","TG/HDL",heart,,0.3,0.5,2,4,0.3,0.5,2,4
atherogenic_index_plasma,"Atherogenic Index of Plasma","AIP",heart,,-0.5,-0.5,0.11,0.35,-0.5,-0.5,0.11,0.35
vldl_cholesterol,"VLDL Cholesterol","VLDL",heart,mmol/L,0,0,1,2.5,0,0,1,2.5
glucose,"Fasting Glucose","Glucose",metabolic,mmol/L,2.8,3.9,5.5,7,2.8,3.9,5.5,7
hba1c,"Hemoglobin A1c","HbA1c",metabolic,%,0,4,5.4,6.5,0,4,5.4,6.5
insulin,"Fasting Insulin","Insulin",metabolic,mU/L,0,2,10,25,0,2,10,25
homa_ir,"HOMA-IR","HOMA",metabolic,,0,0.5,1,2.5,0,0.5,1,2.5
tyg_index,"TyG Index","TyG",metabolic,,0,0,8.5,10.5,0,0,8.5,10.5
estimated_average_glucose,"Estimated Average Glucose","eAG",metabolic,mmol/L,2.5,3.9,5.5,7.8,2.5,3.9,5.5,7.8
tsh,"Thyroid Stimulating Hormone","TSH",thyroid,mIU/L,0.1,0.5,2.5,5,0.1,0.5,2.5,5
free_t4,"Free T4","FT4",thyroid,pmol/L,8,12,22,28,8,12,22,28
free_t3_t4_ratio,"Free T3/T4 Ratio","fT3/fT4",thyroid,,0.15,0.28,0.45,0.65,0.15,0.28,0.45,0.65
vitamin_d,"Vitamin D, 25-Hydroxy","Vit D",vitamins,nmol/L,0,75,150,250,0,75,150,250
vitamin_b12,"Vitamin B12","B12",vitamins,pmol/L,0,300,600,1500,0,300,600,1500
iron,"Iron, Serum","Iron",minerals,µmol/L,7,10,30,35,6,9,27,32
ferritin,"Ferritin","Ferritin",minerals,µg/L,20,50,200,400,10,30,150,300
magnesium,"Magnesium","Mg",minerals,mmol/L,0.6,0.75,1,1.2,0.6,0.75,1,1.2
crp,"C-Reactive Protein (hs-CRP)","CRP",inflammation,mg/L,0,0,1,3,0,0,1,3
crp_albumin_ratio,"CRP/Albumin Ratio","CAR",inflammation,,0,0,0.06,0.25,0,0,0.06,0.25
ferritin_albumin_ratio,"Ferritin/Albumin Ratio","FAR",inflammation,,0,0,10,40,0,0,10,40
nlr,"Neutrophil/Lymphocyte Ratio","NLR",inflammation,,0.5,0.5,2.5,6,0.5,0.5,2.5,6
platelet_lymphocyte_ratio,"Platelet/Lymphocyte Ratio","PLR",inflammation,,30,50,150,350,30,50,150,350
homocysteine,"Homocysteine","Hcy",inflammation,μmol/L,0,5,9,15,0,5,9,15
uric_acid,"Uric Acid","UA",inflammation,mmol/L,0.12,0.2,0.4,0.5,0.1,0.15,0.35,0.45
alt,"Alanine Aminotransferase","ALT",liver,U/L,0,7,30,56,0,7,25,45
ast,"Aspartate Aminotransferase","AST",liver,U/L,0,10,30,50,0,10,25,45
ggt,"Gamma-Glutamyl Transferase","GGT",liver,U/L,0,8,40,65,0,5,30,45
bilirubin_total,"Total Bilirubin","T.Bil",liver,µmol/L,0,3,17,21,0,3,17,21
bilirubin_direct,"Direct Bilirubin","D.Bil",liver,µmol/L,0,0,5,8,0,0,5,8
total_protein,"Total Protein","TP",liver,g/L,50,64,78,95,50,64,78,95
globulin,"Globulin","Glob",liver,g/L,20,23,35,40,20,23,35,40
albumin_globulin_ratio,"Albumin/Globulin Ratio","A/G",liver,,0.6,1,2,3,0.6,1,2,3
ast_alt_ratio,"AST/ALT Ratio (De Ritis)","AST/ALT",liver,,0.6,0.8,1.2,3,0.6,0.8,1.2,3
indirect_bilirubin,"Indirect Bilirubin","Ind.Bil",liver,µmol/L,0,2,14,25,0,2,14,25
bilirubin_albumin_ratio,"Bilirubin/Albumin Ratio","BAR",liver,,0,0,0.4,1.5,0,0,0.4,1.5
creatinine,"Creatinine","Creat",kidney,µmol/L,45,60,110,130,35,45,90,115
egfr,"Estimated GFR","eGFR",kidney,mL/min/1.73m²,15,90,120,150,15,90,120,150
bun,"Blood Urea Nitrogen","BUN",kidney,mmol/L,1.8,2.5,7.5,10,1.8,2.5,7.5,10
uacr,"Urine Albumin-to-Creatinine Ratio","UACR",kidney,mg/g,0,0,30,300,0,0,30,300
urea_creatinine_ratio,"Urea/Creatinine Ratio","Urea/Cr",kidney,,15,40,80,150,15,40,80,150
